"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"478",16,"RIN9-RIN10","post_3",0.00191231546746217,0.00102515452684078,0.433011349948543,0.511184733754739,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"479",17,"RIN9-RIN10","post_4",0.00121768360936726,0.000826394033534584,0.275532006525204,0.6001592974175,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"480",18,"RIN9-RIN10","post_5",0.00144945786263482,0.0009729908103122,0.328052975920778,0.567377203214608,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"481",19,"RIN9-RIN10","post_6",0.00142393919370775,0.000964854656710356,0.322269149450778,0.570810661222412,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"482",20,"RIN9-RIN10","post_7",5.61015826034451e-05,0.000184279407874134,0.0126796690178774,0.910444438913712,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"483",21,"RIN9-RIN10","post_8",0.00222606432979098,0.00114401655349782,0.504212948993133,0.47838684752362,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"484",22,"RIN9-RIN10","post_9",0.000131331447350184,0.000295965317547086,0.029684805649632,0.863361539908433,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"485",23,"RIN9-RIN10","post_10",0.00393392951976413,0.00150747486385955,0.892579415979951,0.345788207954231,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"486",24,"RIN9-RIN10","post_11",0.00203584303097721,0.00112198600888903,0.461039128297202,0.497833490472307,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"487",25,"RIN9-RIN10","post_12",0.010105428898519,0.00246436208742838,2.3071415863247,0.130178358223899,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"488",26,"RIN9-RIN10","post_13",0.0118892956296694,0.00257368887500071,2.71931151076594,0.100530070503722,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"489",27,"RIN9-RIN10","post_14",0.00258834486066059,0.00123834503295982,0.58648396125627,0.444581059801706,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"490",28,"RIN9-RIN10","post_15",0.0012962063221241,0.000826684651270996,0.293322835714123,0.588632520862488,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"491",29,"RIN9-RIN10","post_16",0.00658616424759642,0.00196408865892871,1.49834144279804,0.222201267462345,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"492",30,"RIN9-RIN10","post_17",0.000750942808558901,0.000683179473621067,0.16984061532299,0.680644122745075,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"493",31,"RIN9-RIN10","post_18",0.00194881449815703,0.00106479613618012,0.441292072973221,0.507176673822179,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"494",32,"RIN9-RIN10","post_19",0.00089446385983675,0.00068927916979717,0.202329809025046,0.653277952925962,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"495",33,"RIN9-RIN10","post_20",0.012299876128892,0.002574550197907,2.81438863674006,0.0948048696667698,11.882925755558,0.0376,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"496",1,"LOF1-LOF2","pre_13",0.00058957536358164,0.00069135743537302,0.133322635910992,0.715353062823932,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"497",2,"LOF1-LOF2","pre_12",0.000428732256624787,0.000598722093524108,0.0969350491795826,0.755826167534772,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"498",3,"LOF1-LOF2","pre_11",0.000270766534934454,0.000491554865282286,0.0612098104634698,0.80481851872039,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"499",4,"LOF1-LOF2","pre_10",6.62575294192452e-05,0.000267741215386292,0.0149751938680977,0.902712229391975,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"500",5,"LOF1-LOF2","pre_9",0.00115596329927561,0.000998122721344013,0.261550047892575,0.609556540404367,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"501",6,"LOF1-LOF2","pre_8",0.00955072431814515,0.0029391640300985,2.17927737330602,0.141272082034418,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"502",7,"LOF1-LOF2","pre_7",2.2222983178338e-05,0.000140424303606189,0.00502250581336659,0.943564178861772,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"503",8,"LOF1-LOF2","pre_6",0.0106181198797037,0.00317925392124761,2.42544879892208,0.120778273097532,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"504",9,"LOF1-LOF2","pre_5",0.000472825519525505,0.000651645760390436,0.106909116771444,0.743993512238154,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"505",10,"LOF1-LOF2","pre_4",0.00318773403289056,0.00169464399375157,0.722731768087049,0.396149031027911,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"506",11,"LOF1-LOF2","pre_3",0.00144326281894257,0.0010704751990491,0.326648837202607,0.568207029126056,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"507",12,"LOF1-LOF2","pre_2",0.000603513035689859,0.000678896943451051,0.13647631129884,0.712155377222126,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"508",13,"LOF1-LOF2","pre_1",0.000366045158072115,0.000502613042252197,0.0827564983398143,0.773859688992958,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"509",14,"LOF1-LOF2","post_1",5.24687169449313e-05,0.00019596545483075,0.0118585522325749,0.913380826901987,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"510",15,"LOF1-LOF2","post_2",0.000264291588603635,0.000461692811110889,0.0597456893075608,0.807120110102673,4.0702911276888,0.7324,"ineq_disadvent","OFC",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
